LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713254544.380098,379098,59975,1,HR,1,100,56
1713254545.100096,379818,60099,1,HR,1,100,62
1713254546.233092,380951,60291,1,HR,1,100,60
1713254547.767087,382485,60544,1,HR,1,100,56
1713254550.260078,384978,60953,1,HR,1,100,49
1713254551.779073,386497,61203,1,HR,1,100,47
1713254552.059072,386777,61256,1,HR,1,100,84
1713254552.993069,387711,61409,1,HR,1,100,80
1713254553.753067,388471,61530,1,HR,1,100,80
1713254554.406065,389124,61650,1,HR,1,100,83
1713254556.166059,390884,61939,1,HR,1,100,72
1713254557.579054,392297,62178,1,HR,1,100,65
1713254559.392048,394110,62482,1,HR,1,100,58
1713254561.605040,396323,62836,1,HR,1,100,51
1713254563.898032,398616,63208,1,HR,1,100,46
1713254565.138028,399856,63416,1,HR,1,100,46
1713254566.231025,400949,63603,1,HR,1,100,48
1713254568.804016,403522,64027,1,HR,1,100,43
1713254569.684013,404402,64181,1,HR,1,100,49
1713254570.298011,405016,64290,1,HR,1,100,60
1713254572.271004,406989,64612,1,HR,1,100,53
1713254573.111001,407829,64746,1,HR,1,100,57
1713254573.671000,408389,64850,1,HR,1,100,68
1713254574.310997,409029,64954,1,HR,1,100,74
1713254575.843992,410562,65209,1,HR,1,100,66
1713254576.483990,411202,65311,1,HR,1,100,72
1713254578.096985,412815,46,1,HR,1,100,65
1713254579.349980,414068,248,1,HR,1,100,61
1713254579.949978,414668,347,1,HR,1,100,70
1713254581.202974,415921,567,1,HR,1,100,65
1713254581.722972,416441,650,1,HR,1,100,76
1713254584.175964,418894,1048,1,HR,1,100,65
1713254585.628959,420347,1284,1,HR,1,100,60
1713254585.988958,420707,1351,1,HR,1,100,83
1713254586.508956,421227,1436,1,HR,1,100,91
1713254587.028955,421747,1519,1,HR,1,100,96
1713254587.668952,422387,1620,1,HR,1,100,96
1713254589.681946,424400,1954,1,HR,1,100,81
1713254590.375943,425094,2074,1,HR,1,100,83
1713254591.015941,425734,2180,1,HR,1,100,85
1713254591.775939,426494,2314,1,HR,1,100,84
1713254592.668936,427387,2469,1,HR,1,100,80
1713254593.468933,428187,2604,1,HR,1,100,79
1713254594.188931,428907,2724,1,HR,1,100,80
1713254595.161927,429880,2873,1,HR,1,100,76
1713254595.801925,430520,2996,1,HR,1,100,80
1713254596.694922,431413,3130,1,HR,1,100,77
1713254597.774918,432493,3314,1,HR,1,100,73
1713254598.694915,433413,3466,1,HR,1,100,71
1713254599.307913,434026,3567,1,HR,1,100,77
1713254599.987911,434706,3682,1,HR,1,100,80
1713254601.920904,436639,4005,1,HR,1,100,69
1713254602.600902,437319,4108,1,HR,1,100,73
1713254603.080901,437799,4193,1,HR,1,100,85
1713254603.973897,438692,4343,1,HR,1,100,81
1713254604.493896,439212,4427,1,HR,1,100,89
1713254607.586885,442305,4927,1,HR,1,100,73
1713254608.400883,443119,5066,1,HR,1,100,74
1713254608.999881,443718,5165,1,HR,1,100,80
1713254609.160880,443879,5201,1,HR,1,100,145
1713254609.839878,444558,5319,1,HR,1,100,133
1713254610.533875,445252,5420,1,HR,1,100,123
1713254611.493872,446212,5593,1,HR,1,100,109
1713254612.346869,447065,5729,1,HR,1,100,101
1713254614.026864,448745,6012,1,HR,1,100,86
1713254614.266863,448985,6048,1,HR,1,100,123
1713254614.799861,449518,6147,1,HR,1,100,121
1713254615.639858,450358,6283,1,HR,1,100,110
1713254616.399856,451118,6406,1,HR,1,100,103
1713254617.252853,451971,6559,1,HR,1,100,96
1713254617.892851,452611,6658,1,HR,1,100,96
1713254619.625845,454344,6938,1,HR,1,100,82
1713254620.145843,454864,7021,1,HR,1,100,89
1713254621.238839,455957,7203,1,HR,1,100,82
1713254625.011827,459730,7819,1,HR,1,100,67
1713254625.491825,460210,7904,1,HR,1,100,80
1713254627.584818,462303,8257,1,HR,1,100,69
1713254628.358815,463077,8376,1,HR,1,100,71
1713254628.877814,463596,8459,1,HR,1,100,81
1713254629.398812,464117,8543,1,HR,1,100,89
1713254635.437792,470156,9534,1,HR,1,100,71
1713254636.037790,470756,9635,1,HR,1,100,78
1713254641.276772,475995,10489,1,HR,1,100,63
1713254643.036766,477755,10778,1,HR,1,100,56
1713254643.769764,478488,10910,1,HR,1,100,62
1713254644.929760,479648,11095,1,HR,1,100,60
1713254649.355745,484074,11809,1,HR,1,100,50
1713254649.795743,484514,11894,1,HR,1,100,69
1713254652.502734,487221,12328,1,HR,1,100,59
1713254653.222732,487941,12447,1,HR,1,100,64
1713254654.142729,488861,12596,1,HR,1,100,64
1713254654.755727,489474,12697,1,HR,1,100,72
1713254655.515724,490234,12830,1,HR,1,100,74
1713254656.808720,491527,13027,1,HR,1,100,68
1713254659.621710,494340,13495,1,HR,1,100,57
1713254662.394701,497113,13947,1,HR,1,100,50
1713254662.674700,497393,13998,1,HR,1,100,86
1713254663.434697,498153,14113,1,HR,1,100,85
1713254663.887696,498606,14198,1,HR,1,100,96
1713254664.847693,499566,14347,1,HR,1,100,89
1713254665.487690,500206,14463,1,HR,1,100,90
1713254665.981689,500700,14546,1,HR,1,100,98
1713254667.340684,502059,14770,1,HR,1,100,86
1713254668.634680,503353,14984,1,HR,1,100,77
1713254670.073675,504792,15215,1,HR,1,100,69
1713254670.687673,505406,15314,1,HR,1,100,76
1713254671.287671,506006,15415,1,HR,1,100,81
1713254672.700666,507419,15655,1,HR,1,100,73
1713254673.220665,507939,15742,1,HR,1,100,82
1713254673.980662,508699,15861,1,HR,1,100,82
1713254675.393657,510112,16092,1,HR,1,100,73
1713254676.593653,511312,16290,1,HR,1,100,68
1713254677.326651,512045,16410,1,HR,1,100,71
1713254677.766649,512485,16497,1,HR,1,100,86
1713254678.206648,512925,16566,1,HR,1,100,97
1713254679.739643,514458,16814,1,HR,1,100,84
1713254680.579640,515298,16949,1,HR,1,100,81
1713254681.432637,516151,17097,1,HR,1,100,79
1713254682.432633,517151,17264,1,HR,1,100,75
1713254683.272631,517991,17403,1,HR,1,100,74
1713254683.885628,518604,17502,1,HR,1,100,80
1713254684.885625,519604,17668,1,HR,1,100,75
1713254685.979621,520698,17851,1,HR,1,100,71
1713254686.618619,521337,17954,1,HR,1,100,76
1713254687.458616,522177,18092,1,HR,1,100,75
1713254688.552613,523271,18278,1,HR,1,100,71
1713254690.165607,524884,18541,1,HR,1,100,63
1713254691.805602,526524,18804,1,HR,1,100,57
1713254692.378600,527097,18908,1,HR,1,100,68
1713254692.778599,527497,18976,1,HR,1,100,87
