LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713274290.708640,318184,50386,1,HR,1,100,99
1713274291.228637,318704,50469,1,HR,1,100,102
1713274292.321633,319797,50651,1,HR,1,100,92
1713274293.401628,320877,50833,1,HR,1,100,84
1713274294.655623,322131,51032,1,HR,1,100,76
1713274295.695618,323171,51204,1,HR,1,100,72
1713274299.401603,326877,51795,1,HR,1,100,60
1713274300.281599,327757,51944,1,HR,1,100,61
1713274302.094591,329570,52229,1,HR,1,100,55
1713274304.267581,331743,52590,1,HR,1,100,49
1713274306.080574,333556,52878,1,HR,1,100,46
1713274307.080570,334556,53042,1,HR,1,100,49
1713274309.533559,337009,53439,1,HR,1,100,43
1713274310.466555,337942,53586,1,HR,1,100,48
1713274311.146552,338622,53709,1,HR,1,100,57
1713274311.786549,339262,53810,1,HR,1,100,65
1713274312.600546,340076,53942,1,HR,1,100,67
1713274314.413538,341889,54240,1,HR,1,100,60
1713274315.213535,342689,54373,1,HR,1,100,63
1713274315.573533,343049,54423,1,HR,1,100,86
1713274316.292530,343768,54544,1,HR,1,100,86
1713274316.826528,344302,54630,1,HR,1,100,92
1713274317.106527,344582,54685,1,HR,1,100,119
1713274319.039518,346515,55004,1,HR,1,100,100
1713274320.599512,348075,55253,1,HR,1,100,86
1713274321.532508,349008,55408,1,HR,1,100,81
1713274322.372504,349848,55541,1,HR,1,100,79
1713274326.838485,354314,56267,1,HR,1,100,65
1713274327.518482,354994,56384,1,HR,1,100,70
1713274328.411478,355887,56533,1,HR,1,100,70
1713274328.891476,356367,56600,1,HR,1,100,82
1713274330.064471,357540,56800,1,HR,1,100,75
1713274330.784468,358260,56916,1,HR,1,100,77
1713274331.464465,358940,57022,1,HR,1,100,79
1713274333.357457,360833,57335,1,HR,1,100,69
1713274336.011446,363487,57764,1,HR,1,100,59
1713274341.250423,368726,58607,1,HR,1,100,48
1713274348.889390,376365,59832,1,HR,1,100,39
1713274352.875373,380351,60476,1,HR,1,100,34
1713274353.955369,381431,60657,1,HR,1,100,39
1713274356.089359,383565,61004,1,HR,1,100,36
1713274356.368358,383844,61055,1,HR,1,100,76
1713274357.302354,384778,61209,1,HR,1,100,74
1713274358.062351,385538,61327,1,HR,1,100,75
1713274359.075346,386551,61491,1,HR,1,100,71
1713274359.755344,387231,61610,1,HR,1,100,75
1713274360.315341,387791,61693,1,HR,1,100,82
1713274361.488336,388964,61892,1,HR,1,100,75
1713274361.888335,389364,61959,1,HR,1,100,92
1713274363.181329,390657,62162,1,HR,1,100,82
1713274363.941326,391417,62295,1,HR,1,100,81
1713274364.661323,392137,62414,1,HR,1,100,82
1713274365.874317,393350,62611,1,HR,1,100,75
1713274367.394311,394870,62848,1,HR,1,100,67
1713274368.607306,396083,63045,1,HR,1,100,63
1713274369.327303,396803,63164,1,HR,1,100,68
1713274369.647301,397123,63214,1,HR,1,100,94
1713274370.540298,398016,63363,1,HR,1,100,88
1713274371.620293,399096,63546,1,HR,1,100,81
1713274372.393290,399869,63667,1,HR,1,100,81
1713274373.113286,400589,63784,1,HR,1,100,81
1713274374.247282,401723,63965,1,HR,1,100,75
1713274374.927279,402403,64082,1,HR,1,100,78
1713274375.767275,403243,64216,1,HR,1,100,77
1713274376.500272,403976,64333,1,HR,1,100,78
1713274377.780266,405256,64534,1,HR,1,100,71
1713274378.593263,406069,64666,1,HR,1,100,72
1713274379.353260,406829,64806,1,HR,1,100,74
1713274381.086252,408562,65084,1,HR,1,100,65
1713274381.646250,409122,65187,1,HR,1,100,74
1713274381.966249,409442,65238,1,HR,1,100,99
1713274382.286247,409762,65290,1,HR,1,100,119
1713274383.699241,411175,65512,1,HR,1,100,102
1713274385.099235,412575,207,1,HR,1,100,89
1713274385.672233,413148,308,1,HR,1,100,93
1713274386.112231,413588,375,1,HR,1,100,103
1713274386.752228,414228,476,1,HR,1,100,101
1713274387.965223,415441,678,1,HR,1,100,89
1713274390.978210,418454,1173,1,HR,1,100,74
1713274392.032205,419508,1337,1,HR,1,100,70
1713274396.124188,423600,2014,1,HR,1,100,58
1713274397.018184,424494,2164,1,HR,1,100,60
1713274397.578182,425054,2247,1,HR,1,100,71
1713274398.351178,425827,2385,1,HR,1,100,73
1713274399.431174,426907,2553,1,HR,1,100,69
1713274406.430144,433906,3690,1,HR,1,100,55
1713274407.683138,435159,3904,1,HR,1,100,54
1713274408.243136,435719,3993,1,HR,1,100,66
1713274408.843133,436319,4092,1,HR,1,100,73
1713274409.123132,436599,4144,1,HR,1,100,105
1713274409.816129,437292,4262,1,HR,1,100,101
1713274410.656125,438132,4395,1,HR,1,100,94
1713274412.989115,440465,4773,1,HR,1,100,79
1713274413.549113,441025,4876,1,HR,1,100,85
1713274414.203110,441679,4977,1,HR,1,100,87
1713274414.763108,442239,5078,1,HR,1,100,92
1713274418.189093,445665,5619,1,HR,1,100,75
1713274419.509088,446985,5844,1,HR,1,100,69
1713274420.682082,448158,6042,1,HR,1,100,65
1713274421.602078,449078,6191,1,HR,1,100,65
1713274423.135072,450611,6439,1,HR,1,100,59
1713274423.975068,451451,6576,1,HR,1,100,62
1713274424.708065,452184,6711,1,HR,1,100,67
