LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713519462.268446,397361,62790,1,HR,1,100,70
1713519465.521435,400614,63302,1,HR,1,100,59
1713519466.294432,401387,63436,1,HR,1,100,63
1713519468.054425,403147,63717,1,HR,1,100,57
1713519470.427417,405520,64102,1,HR,1,100,50
1713519477.760390,412853,65297,1,HR,1,100,41
1713519478.319388,413412,65381,1,HR,1,100,55
1713519480.413381,415506,201,1,HR,1,100,49
1713519481.706376,416799,413,1,HR,1,100,49
1713519482.226374,417319,500,1,HR,1,100,64
1713519482.746372,417839,585,1,HR,1,100,75
1713519483.506370,418599,701,1,HR,1,100,76
1713519483.959368,419052,785,1,HR,1,100,89
1713519485.852361,420945,1086,1,HR,1,100,77
1713519487.772354,422865,1401,1,HR,1,100,67
1713519488.465352,423558,1517,1,HR,1,100,71
1713519488.865350,423958,1587,1,HR,1,100,89
1713519489.305349,424398,1654,1,HR,1,100,99
1713519490.398345,425491,1840,1,HR,1,100,90
1713519490.798343,425891,1910,1,HR,1,100,103
1713519492.198338,427291,2127,1,HR,1,100,90
1713519492.611337,427704,2194,1,HR,1,100,103
1713519494.371330,429464,2488,1,HR,1,100,88
1713519495.865325,430958,2731,1,HR,1,100,77
1713519497.558319,432651,3012,1,HR,1,100,68
1713519498.971314,434064,3243,1,HR,1,100,62
1713519499.371312,434464,3312,1,HR,1,100,82
1713519500.411309,435504,3478,1,HR,1,100,77
1713519501.584305,436677,3665,1,HR,1,100,71
1713519502.624301,437717,3847,1,HR,1,100,68
1713519503.064299,438157,3914,1,HR,1,100,83
1713519503.717297,438810,4015,1,HR,1,100,86
1713519504.157295,439250,4102,1,HR,1,100,97
1713519504.357295,439450,4135,1,HR,1,100,142
1713519504.797293,439890,4202,1,HR,1,100,141
1713519505.290291,440383,4286,1,HR,1,100,137
1713519508.463280,443556,4802,1,HR,1,100,111
1713519509.303277,444396,4950,1,HR,1,100,102
1713519511.636268,446729,5326,1,HR,1,100,85
1713519512.209266,447302,5429,1,HR,1,100,90
1713519512.609265,447702,5498,1,HR,1,100,103
1713519513.289262,448382,5614,1,HR,1,100,100
1713519513.849260,448942,5697,1,HR,1,100,102
