LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713343555.589876,354934,55868,1,HR,1,100,62
1713343557.802869,357147,56231,1,HR,1,100,54
1713343558.135868,357480,56283,1,HR,1,100,84
1713343559.615863,358960,56530,1,HR,1,100,74
1713343560.148862,359493,56614,1,HR,1,100,83
1713343560.468861,359813,56670,1,HR,1,100,107
1713343561.188858,360533,56788,1,HR,1,100,101
1713343561.708857,361053,56870,1,HR,1,100,105
1713343562.281855,361626,56971,1,HR,1,100,105
1713343564.121849,363466,57269,1,HR,1,100,89
1713343565.014846,364359,57418,1,HR,1,100,84
1713343566.988840,366333,57718,1,HR,1,100,72
1713343567.987837,367332,57886,1,HR,1,100,70
1713343569.201833,368546,58083,1,HR,1,100,65
1713343577.493807,376838,59430,1,HR,1,100,52
1713343580.106799,379451,59857,1,HR,1,100,46
1713343580.706797,380051,59956,1,HR,1,100,58
1713343581.719794,381064,60110,1,HR,1,100,58
1713343582.559791,381904,60245,1,HR,1,100,61
1713343583.893787,383238,60476,1,HR,1,100,58
1713343585.333782,384678,60707,1,HR,1,100,54
1713343585.946780,385291,60806,1,HR,1,100,64
1713343586.826778,386171,60945,1,HR,1,100,65
1713343588.079774,387424,61145,1,HR,1,100,61
1713343590.039768,389384,61473,1,HR,1,100,55
1713343590.892765,390237,61606,1,HR,1,100,58
1713343599.464738,398809,62999,1,HR,1,100,47
1713343603.291726,402636,63613,1,HR,1,100,40
1713343604.691722,404036,63842,1,HR,1,100,41
1713343605.624719,404969,63991,1,HR,1,100,46
1713343606.344717,405689,64107,1,HR,1,100,54
1713343606.783715,406128,64181,1,HR,1,100,73
1713343615.836687,415181,112,1,HR,1,100,58
1713343619.062676,418407,630,1,HR,1,100,49
1713343619.822674,419167,762,1,HR,1,100,56
1713343620.515672,419860,880,1,HR,1,100,63
1713343622.396666,421741,1181,1,HR,1,100,56
1713343622.849665,422194,1268,1,HR,1,100,74
1713343624.368660,423713,1519,1,HR,1,100,66
1713343625.302657,424647,1669,1,HR,1,100,66
1713343625.622656,424967,1719,1,HR,1,100,93
1713343626.262654,425607,1818,1,HR,1,100,93
1713343626.702652,426047,1902,1,HR,1,100,103
1713343627.595650,426940,2044,1,HR,1,100,95
1713343628.075648,427420,2127,1,HR,1,100,102
1713343628.555647,427900,2212,1,HR,1,100,107
1713343629.448644,428793,2360,1,HR,1,100,98
1713343630.368641,429713,2512,1,HR,1,100,91
1713343630.808640,430153,2581,1,HR,1,100,101
1713343631.301638,430646,2667,1,HR,1,100,106
1713343635.647624,434992,3387,1,HR,1,100,86
1713343638.620615,437965,3871,1,HR,1,100,71
1713343639.140614,438485,3955,1,HR,1,100,81
1713343639.874611,439219,4072,1,HR,1,100,82
1713343640.394609,439739,4173,1,HR,1,100,89
1713343642.007604,441352,4422,1,HR,1,100,78
1713343643.167601,442512,4631,1,HR,1,100,72
1713343645.060595,444405,4925,1,HR,1,100,63
1713343646.473590,445818,5160,1,HR,1,100,59
1713343646.673590,446018,5197,1,HR,1,100,112
1713343647.753587,447098,5385,1,HR,1,100,100
1713343649.006582,448351,5585,1,HR,1,100,88
1713343651.299575,450644,5964,1,HR,1,100,74
1713343651.699574,451044,6031,1,HR,1,100,91
1713343654.032567,453377,6404,1,HR,1,100,77
1713343655.125563,454470,6585,1,HR,1,100,72
1713343656.165560,455510,6753,1,HR,1,100,69
1713343656.765558,456110,6852,1,HR,1,100,76
1713343657.059557,456404,6906,1,HR,1,100,107
1713343657.618556,456963,6995,1,HR,1,100,107
1713343657.898555,457243,7050,1,HR,1,100,131
1713343658.178554,457523,7101,1,HR,1,100,149
1713343659.272550,458617,7267,1,HR,1,100,128
1713343660.072548,459417,7399,1,HR,1,100,117
1713343660.671546,460016,7500,1,HR,1,100,113
1713343660.871545,460216,7534,1,HR,1,100,154
1713343662.885539,462230,7873,1,HR,1,100,127
1713343663.418537,462763,7956,1,HR,1,100,124
1713343663.818536,463163,8023,1,HR,1,100,130
1713343664.258535,463603,8091,1,HR,1,100,131
1713343664.778533,464123,8191,1,HR,1,100,128
1713343665.058532,464403,8225,1,HR,1,100,147
1713343665.338531,464683,8280,1,HR,1,100,162
1713343665.991529,465336,8397,1,HR,1,100,147
1713343666.711527,466056,8515,1,HR,1,100,133
1713343668.724520,468069,8837,1,HR,1,100,110
1713343669.044520,468389,8904,1,HR,1,100,127
1713343669.937517,469282,9037,1,HR,1,100,114
1713343670.817514,470162,9186,1,HR,1,100,104
1713343671.297513,470642,9270,1,HR,1,100,109
1713343673.270506,472615,9591,1,HR,1,100,91
1713343677.017494,476362,10204,1,HR,1,100,75
1713343677.576493,476921,10307,1,HR,1,100,82
1713343680.110485,479455,10726,1,HR,1,100,69
1713343682.776476,482121,11159,1,HR,1,100,59
1713343683.336475,482681,11246,1,HR,1,100,69
1713343684.816470,484161,11494,1,HR,1,100,63
1713343685.389468,484734,11593,1,HR,1,100,73
1713343686.269465,485614,11726,1,HR,1,100,72
1713343686.589464,485934,11794,1,HR,1,100,97
1713343687.322462,486667,11910,1,HR,1,100,94
1713343687.682461,487027,11963,1,HR,1,100,110
1713343689.002457,488347,12184,1,HR,1,100,96
1713343691.255450,490600,12548,1,HR,1,100,81
1713343691.628449,490973,12615,1,HR,1,100,100
1713343694.242440,493587,13049,1,HR,1,100,83
1713343697.748429,497093,13612,1,HR,1,100,68
1713343699.188425,498533,13864,1,HR,1,100,62
1713343699.708423,499053,13947,1,HR,1,100,74
1713343700.801420,500146,14129,1,HR,1,100,70
1713343701.201419,500546,14178,1,HR,1,100,88
1713343702.094416,501439,14328,1,HR,1,100,83
1713343702.654414,501999,14431,1,HR,1,100,89
1713343703.094413,502439,14500,1,HR,1,100,99
1713343704.187409,503532,14686,1,HR,1,100,90
1713343705.547405,504892,14905,1,HR,1,100,79
1713343705.827404,505172,14955,1,HR,1,100,109
1713343706.400402,505745,15055,1,HR,1,100,109
1713343706.720401,506065,15106,1,HR,1,100,126
1713343707.120400,506465,15173,1,HR,1,100,132
1713343707.560399,506905,15243,1,HR,1,100,133
1713343709.053394,508398,15497,1,HR,1,100,112
1713343710.133390,509478,15664,1,HR,1,100,100
1713343711.826385,511171,15945,1,HR,1,100,85
1713343712.306384,511651,16029,1,HR,1,100,94
1713343712.800382,512145,16115,1,HR,1,100,101
1713343713.200381,512545,16183,1,HR,1,100,112
1713343714.519377,513864,16404,1,HR,1,100,97
1713343714.813376,514158,16437,1,HR,1,100,123
1713343715.533374,514878,16572,1,HR,1,100,114
1713343716.813370,516158,16771,1,HR,1,100,99
1713343718.106365,517451,16992,1,HR,1,100,88
1713343718.546364,517891,17060,1,HR,1,100,98
1713343718.946363,518291,17127,1,HR,1,100,110
1713343720.119359,519464,17312,1,HR,1,100,97
1713343721.172356,520517,17496,1,HR,1,100,88
1713343721.452355,520797,17545,1,HR,1,100,116
1713343721.692354,521037,17580,1,HR,1,100,146
1713343721.972353,521317,17632,1,HR,1,100,161
1713343722.332352,521677,17684,1,HR,1,100,162
1713343723.172349,522517,17820,1,HR,1,100,142
1713343724.945344,524290,18122,1,HR,1,100,118
1713343725.438343,524783,18206,1,HR,1,100,120
1713343726.558339,525903,18387,1,HR,1,100,105
1713343727.238337,526583,18488,1,HR,1,100,101
1713343727.651335,526996,18575,1,HR,1,100,112
1713343728.931331,528276,18774,1,HR,1,100,98
1713343729.945328,529290,18943,1,HR,1,100,89
1713343733.398317,532743,19504,1,HR,1,100,73
1713343734.011316,533356,19605,1,HR,1,100,79
1713343734.731313,534076,19727,1,HR,1,100,80
1713343734.971313,534316,19780,1,HR,1,100,118
1713343735.531311,534876,19863,1,HR,1,100,115
1713343736.624307,535969,20045,1,HR,1,100,102
1713343737.104306,536449,20128,1,HR,1,100,107
1713343738.437302,537782,20345,1,HR,1,100,94
1713343741.130293,540475,20779,1,HR,1,100,78
1713343741.650291,540995,20878,1,HR,1,100,86
1713343742.250290,541595,20962,1,HR,1,100,89
1713343743.383286,542728,21161,1,HR,1,100,81
1713343744.263283,543608,21298,1,HR,1,100,78
1713343746.930275,546275,21728,1,HR,1,100,66
1713343748.089271,547434,21929,1,HR,1,100,63
1713343750.423264,549768,22315,1,HR,1,100,55
1713343751.116262,550461,22430,1,HR,1,100,62
1713343751.476261,550821,22483,1,HR,1,100,85
1713343751.996259,551341,22565,1,HR,1,100,92
