LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713522973.784095,334969,53243,1,HR,1,100,105
1713522974.424092,335609,53344,1,HR,1,100,103
1713522975.158089,336343,53460,1,HR,1,100,98
1713522975.918086,337103,53595,1,HR,1,100,94
1713522976.357084,337542,53662,1,HR,1,100,104
1713522977.131081,338316,53795,1,HR,1,100,98
1713522977.651079,338836,53869,1,HR,1,100,102
1713522978.370076,339555,54001,1,HR,1,100,98
1713522978.931073,340116,54085,1,HR,1,100,100
1713522980.264068,341449,54304,1,HR,1,100,88
1713522980.864066,342049,54402,1,HR,1,100,90
1713522981.717062,342902,54551,1,HR,1,100,86
1713522982.277060,343462,54636,1,HR,1,100,91
1713522982.557059,343742,54676,1,HR,1,100,118
1713522983.530055,344715,54845,1,HR,1,100,106
1713522986.743042,347928,55374,1,HR,1,100,87
1713522987.676038,348861,55512,1,HR,1,100,82
1713522988.396035,349581,55644,1,HR,1,100,82
1713522988.876033,350061,55711,1,HR,1,100,92
1713522989.476030,350661,55812,1,HR,1,100,94
1713522990.049028,351234,55912,1,HR,1,100,97
1713522990.689025,351874,56014,1,HR,1,100,96
1713522991.249023,352434,56115,1,HR,1,100,98
1713522991.942020,353127,56214,1,HR,1,100,96
1713522992.462018,353647,56316,1,HR,1,100,100
1713522993.182015,354367,56422,1,HR,1,100,97
1713522993.622013,354807,56506,1,HR,1,100,105
1713522994.396010,355581,56624,1,HR,1,100,100
1713522994.995008,356180,56723,1,HR,1,100,100
1713522995.715005,356900,56842,1,HR,1,100,96
1713522996.569001,357754,56991,1,HR,1,100,91
1713522997.048999,358234,57059,1,HR,1,100,98
1713522997.928996,359114,57213,1,HR,1,100,92
1713522998.261994,359447,57264,1,HR,1,100,113
1713523001.634980,362820,57808,1,HR,1,100,92
1713523002.114979,363300,57892,1,HR,1,100,99
1713523003.047975,364233,58046,1,HR,1,100,92
1713523003.247974,364433,58082,1,HR,1,100,138
1713523004.047971,365233,58198,1,HR,1,100,124
1713523005.420965,366606,58431,1,HR,1,100,106
1713523006.020962,367206,58530,1,HR,1,100,105
1713523007.553956,368739,58780,1,HR,1,100,90
1713523009.166950,370352,59031,1,HR,1,100,79
1713523009.766947,370952,59131,1,HR,1,100,83
1713523010.766943,371952,59299,1,HR,1,100,78
1713523011.339941,372525,59400,1,HR,1,100,85
1713523011.899938,373085,59484,1,HR,1,100,90
1713523012.619936,373805,59600,1,HR,1,100,88
1713523013.233933,374419,59705,1,HR,1,100,91
1713523014.033930,375219,59838,1,HR,1,100,87
1713523014.592927,375778,59924,1,HR,1,100,92
1713523015.206925,376392,60024,1,HR,1,100,94
1713523015.526923,376712,60094,1,HR,1,100,114
1713523016.206921,377392,60192,1,HR,1,100,109
1713523017.086917,378272,60342,1,HR,1,100,100
1713523018.179913,379365,60525,1,HR,1,100,90
1713523018.939909,380125,60646,1,HR,1,100,87
1713523019.432908,380618,60731,1,HR,1,100,96
1713523019.952905,381138,60816,1,HR,1,100,100
1713523020.352904,381538,60885,1,HR,1,100,111
1713523021.112900,382298,61000,1,HR,1,100,104
1713523022.045897,383231,61150,1,HR,1,100,95
1713523022.605895,383791,61251,1,HR,1,100,98
1713523023.165892,384351,61332,1,HR,1,100,100
1713523023.818890,385004,61438,1,HR,1,100,99
1713523024.378887,385564,61539,1,HR,1,100,101
1713523026.711878,387897,61918,1,HR,1,100,84
1713523027.311875,388497,62019,1,HR,1,100,88
1713523027.965873,389151,62118,1,HR,1,100,89
1713523029.164868,390350,62322,1,HR,1,100,80
1713523030.004864,391190,62455,1,HR,1,100,78
1713523030.498862,391684,62540,1,HR,1,100,89
1713523031.618858,392804,62722,1,HR,1,100,81
1713523032.137856,393323,62805,1,HR,1,100,89
1713523032.751853,393937,62906,1,HR,1,100,91
1713523033.351851,394537,63007,1,HR,1,100,93
1713523033.951848,395137,63112,1,HR,1,100,95
1713523034.604845,395790,63213,1,HR,1,100,94
1713523035.084843,396270,63295,1,HR,1,100,101
1713523036.124839,397310,63463,1,HR,1,100,92
1713523036.697837,397883,63564,1,HR,1,100,95
1713523037.257834,398443,63646,1,HR,1,100,98
1713523037.857832,399043,63746,1,HR,1,100,98
1713523038.590829,399776,63863,1,HR,1,100,95
1713523039.310826,400496,63985,1,HR,1,100,92
1713523039.710824,400896,64052,1,HR,1,100,105
1713523040.310822,401496,64155,1,HR,1,100,104
1713523041.003819,402189,64271,1,HR,1,100,101
1713523041.643816,402829,64372,1,HR,1,100,99
1713523042.203814,403389,64455,1,HR,1,100,101
1713523042.856812,404042,64574,1,HR,1,100,99
1713523043.656808,404842,64706,1,HR,1,100,94
1713523044.176806,405362,64778,1,HR,1,100,99
1713523044.656804,405842,64862,1,HR,1,100,104
1713523045.229802,406415,64963,1,HR,1,100,105
1713523045.869799,407055,65063,1,HR,1,100,103
1713523046.469797,407655,65164,1,HR,1,100,102
1713523046.989794,408175,65247,1,HR,1,100,105
1713523047.563792,408749,65350,1,HR,1,100,105
1713523048.083790,409269,65433,1,HR,1,100,108
1713523048.642788,409828,65518,1,HR,1,100,108
1713523049.256785,410442,86,1,HR,1,100,106
1713523049.776783,410962,186,1,HR,1,100,108
1713523050.376781,411562,272,1,HR,1,100,106
1713523050.976778,412162,371,1,HR,1,100,105
1713523051.589776,412775,472,1,HR,1,100,104
1713523052.229773,413415,588,1,HR,1,100,102
1713523052.789771,413975,671,1,HR,1,100,103
1713523053.309769,414495,760,1,HR,1,100,106
1713523054.002766,415188,875,1,HR,1,100,102
1713523054.482764,415668,964,1,HR,1,100,107
1713523055.122761,416308,1063,1,HR,1,100,104
1713523055.735759,416921,1166,1,HR,1,100,103
1713523056.455756,417641,1281,1,HR,1,100,99
1713523057.015754,418201,1382,1,HR,1,100,101
1713523057.615751,418801,1481,1,HR,1,100,100
1713523058.468747,419654,1614,1,HR,1,100,94
1713523058.788746,419974,1666,1,HR,1,100,115
1713523059.468743,420654,1786,1,HR,1,100,109
1713523060.281740,421467,1921,1,HR,1,100,101
1713523060.721738,421907,1988,1,HR,1,100,109
1713523062.094733,423280,2219,1,HR,1,100,95
1713523062.654730,423840,2304,1,HR,1,100,97
1713523063.334728,424520,2421,1,HR,1,100,95
1713523063.934725,425120,2522,1,HR,1,100,96
1713523064.508723,425694,2610,1,HR,1,100,99
1713523065.187720,426373,2730,1,HR,1,100,96
1713523065.787718,426973,2829,1,HR,1,100,97
1713523066.601714,427787,2963,1,HR,1,100,92
1713523067.281711,428467,3080,1,HR,1,100,91
1713523067.881709,429067,3179,1,HR,1,100,93
1713523068.321707,429507,3246,1,HR,1,100,103
1713523069.094704,430280,3378,1,HR,1,100,98
1713523069.494702,430680,3453,1,HR,1,100,109
1713523070.174700,431360,3551,1,HR,1,100,105
1713523070.867697,432053,3668,1,HR,1,100,101
1713523071.507694,432693,3769,1,HR,1,100,99
1713523072.187691,433373,3885,1,HR,1,100,97
1713523073.000688,434186,4018,1,HR,1,100,92
1713523073.440686,434626,4101,1,HR,1,100,102
1713523074.040684,435226,4186,1,HR,1,100,101
1713523074.773681,435959,4323,1,HR,1,100,97
1713523075.493678,436679,4440,1,HR,1,100,94
1713523075.973676,437159,4525,1,HR,1,100,101
1713523076.613673,437799,4626,1,HR,1,100,99
1713523077.386670,438572,4741,1,HR,1,100,95
1713523077.786668,438972,4810,1,HR,1,100,107
1713523078.346666,439532,4911,1,HR,1,100,107
1713523079.199662,440385,5043,1,HR,1,100,99
1713523080.239658,441425,5232,1,HR,1,100,90
1713523080.839656,442025,5315,1,HR,1,100,92
1713523081.413653,442599,5418,1,HR,1,100,96
1713523082.012651,443198,5517,1,HR,1,100,97
1713523082.612648,443798,5618,1,HR,1,100,97
1713523083.346646,444532,5734,1,HR,1,100,94
1713523084.146642,445332,5866,1,HR,1,100,90
1713523084.626640,445812,5950,1,HR,1,100,98
1713523085.185638,446371,6039,1,HR,1,100,100
1713523085.719636,446905,6142,1,HR,1,100,103
1713523086.439633,447625,6259,1,HR,1,100,99
1713523087.119630,448305,6358,1,HR,1,100,96
1713523087.692628,448878,6459,1,HR,1,100,99
1713523088.332625,449518,6558,1,HR,1,100,98
1713523088.852623,450038,6642,1,HR,1,100,102
1713523089.585620,450771,6775,1,HR,1,100,98
1713523090.105618,451291,6863,1,HR,1,100,102
1713523090.745615,451931,6966,1,HR,1,100,100
1713523091.425612,452611,7082,1,HR,1,100,97
1713523092.198609,453384,7197,1,HR,1,100,93
1713523092.638608,453824,7282,1,HR,1,100,103
1713523093.238605,454424,7383,1,HR,1,100,102
1713523093.811603,454997,7466,1,HR,1,100,103
1713523094.491600,455677,7584,1,HR,1,100,100
1713523095.211597,456397,7707,1,HR,1,100,96
1713523095.731595,456917,7791,1,HR,1,100,100
1713523096.304592,457490,7892,1,HR,1,100,102
1713523096.904590,458090,7991,1,HR,1,100,102
1713523097.544587,458730,8092,1,HR,1,100,100
1713523098.118585,459304,8192,1,HR,1,100,101
1713523098.877582,460063,8310,1,HR,1,100,96
1713523099.317580,460503,8377,1,HR,1,100,105
1713523099.997577,461183,8493,1,HR,1,100,102
1713523100.571575,461757,8601,1,HR,1,100,103
1713523101.210572,462396,8700,1,HR,1,100,101
1713523101.770570,462956,8800,1,HR,1,100,102
1713523102.504567,463690,8915,1,HR,1,100,98
1713523102.984565,464170,9000,1,HR,1,100,104
1713523103.584563,464770,9084,1,HR,1,100,103
1713523104.104560,465290,9182,1,HR,1,100,106
1713523104.797558,465983,9283,1,HR,1,100,102
1713523105.477555,466663,9406,1,HR,1,100,99
1713523105.877553,467063,9474,1,HR,1,100,110
1713523106.037553,467223,9492,1,HR,1,100,169
1713523106.570550,467756,9593,1,HR,1,100,157
1713523107.130548,468316,9675,1,HR,1,100,146
1713523107.650546,468836,9759,1,HR,1,100,139
1713523109.503538,470689,10075,1,HR,1,100,116
1713523110.023536,471209,10156,1,HR,1,100,115
1713523110.703533,471889,10264,1,HR,1,100,109
1713523111.716529,472902,10430,1,HR,1,100,98
1713523113.049524,474235,10645,1,HR,1,100,87
1713523114.049520,475235,10809,1,HR,1,100,81
1713523114.689517,475875,10926,1,HR,1,100,84
1713523115.262515,476448,11011,1,HR,1,100,89
1713523115.822512,477008,11116,1,HR,1,100,93
1713523116.382510,477568,11200,1,HR,1,100,96
1713523117.062507,478248,11316,1,HR,1,100,94
1713523117.796504,478982,11431,1,HR,1,100,92
1713523118.435502,479621,11549,1,HR,1,100,92
1713523119.155499,480341,11665,1,HR,1,100,90
1713523119.649497,480835,11732,1,HR,1,100,98
1713523120.209494,481395,11835,1,HR,1,100,100
1713523120.889492,482075,11958,1,HR,1,100,97
1713523121.502489,482688,12059,1,HR,1,100,98
1713523122.062487,483248,12140,1,HR,1,100,100
1713523122.502485,483688,12208,1,HR,1,100,108
1713523123.515481,484701,12373,1,HR,1,100,97
1713523124.075479,485261,12474,1,HR,1,100,100
1713523124.555477,485741,12557,1,HR,1,100,105
1713523124.915475,486101,12609,1,HR,1,100,119
1713523126.048470,487234,12797,1,HR,1,100,104
1713523126.808467,487994,12929,1,HR,1,100,99
1713523127.248466,488434,12997,1,HR,1,100,107
1713523128.981458,490167,13276,1,HR,1,100,91
1713523130.754451,491940,13576,1,HR,1,100,78
1713523131.594448,492780,13714,1,HR,1,100,77
1713523132.047446,493233,13798,1,HR,1,100,90
1713523132.888443,494074,13931,1,HR,1,100,86
1713523133.448440,494634,14014,1,HR,1,100,91
1713523133.727439,494913,14065,1,HR,1,100,118
1713523134.261437,495447,14149,1,HR,1,100,118
1713523135.781430,496967,14399,1,HR,1,100,100
1713523136.154429,497340,14471,1,HR,1,100,115
1713523136.914426,498100,14589,1,HR,1,100,107
1713523137.394424,498580,14671,1,HR,1,100,111
1713523138.287420,499473,14820,1,HR,1,100,101
1713523138.927418,500113,14921,1,HR,1,100,100
1713523139.527415,500713,15019,1,HR,1,100,100
1713523139.927414,501113,15087,1,HR,1,100,111
1713523140.207412,501393,15142,1,HR,1,100,134
1713523141.220408,502406,15311,1,HR,1,100,117
1713523142.180404,503366,15459,1,HR,1,100,105
1713523142.873402,504059,15575,1,HR,1,100,101
1713523143.353400,504539,15659,1,HR,1,100,107
1713523144.606395,505792,15857,1,HR,1,100,94
1713523145.966389,507152,16090,1,HR,1,100,83
1713523146.486387,507672,16179,1,HR,1,100,90
1713523146.899385,508085,16247,1,HR,1,100,103
1713523147.539382,508725,16346,1,HR,1,100,101
1713523147.899381,509085,16414,1,HR,1,100,116
1713523149.032376,510218,16595,1,HR,1,100,102
1713523149.712373,510898,16711,1,HR,1,100,99
1713523150.192372,511378,16778,1,HR,1,100,105
1713523150.792369,511978,16881,1,HR,1,100,104
1713523151.525366,512711,17001,1,HR,1,100,99
1713523152.045364,513231,17102,1,HR,1,100,103
1713523152.725361,513911,17205,1,HR,1,100,100
1713523153.259359,514445,17306,1,HR,1,100,103
1713523155.912348,517098,17737,1,HR,1,100,85
1713523156.392346,517578,17804,1,HR,1,100,94
1713523157.032343,518218,17925,1,HR,1,100,94
1713523157.605341,518791,18009,1,HR,1,100,97
1713523158.325338,519511,18125,1,HR,1,100,94
1713523159.005335,520191,18242,1,HR,1,100,93
1713523159.458333,520644,18309,1,HR,1,100,102
1713523159.898332,521084,18393,1,HR,1,100,110
1713523160.258330,521444,18446,1,HR,1,100,123
1713523160.898328,522084,18562,1,HR,1,100,116
1713523162.031323,523217,18749,1,HR,1,100,102
1713523162.791320,523977,18865,1,HR,1,100,97
1713523163.271318,524457,18949,1,HR,1,100,103
1713523163.591317,524777,19000,1,HR,1,100,122
1713523164.924311,526110,19214,1,HR,1,100,105
1713523166.097306,527283,19413,1,HR,1,100,93
1713523167.257302,528443,19600,1,HR,1,100,84
1713523167.657300,528843,19667,1,HR,1,100,99
1713523169.550292,530736,19980,1,HR,1,100,84
1713523170.244289,531430,20098,1,HR,1,100,85
1713523171.004286,532190,20215,1,HR,1,100,83
1713523171.643284,532829,20314,1,HR,1,100,86
1713523172.337281,533523,20437,1,HR,1,100,86
1713523173.017278,534203,20552,1,HR,1,100,87
1713523173.817275,535003,20686,1,HR,1,100,84
1713523174.430272,535616,20787,1,HR,1,100,88
1713523175.670267,536856,20989,1,HR,1,100,79
1713523176.443264,537629,21121,1,HR,1,100,79
1713523177.043262,538229,21225,1,HR,1,100,84
1713523177.843258,539029,21343,1,HR,1,100,82
1713523178.403256,539589,21442,1,HR,1,100,87
1713523180.256248,541442,21741,1,HR,1,100,75
1713523181.069245,542255,21873,1,HR,1,100,75
1713523181.509243,542695,21957,1,HR,1,100,89
1713523182.429239,543615,22111,1,HR,1,100,84
1713523184.402231,545588,22422,1,HR,1,100,72
1713523185.575227,546761,22622,1,HR,1,100,67
1713523186.375223,547561,22740,1,HR,1,100,69
1713523187.109220,548295,22872,1,HR,1,100,72
1713523187.908217,549094,23010,1,HR,1,100,73
1713523188.988213,550174,23174,1,HR,1,100,69
1713523191.002204,552188,23506,1,HR,1,100,60
1713523191.655202,552841,23605,1,HR,1,100,68
1713523192.215199,553401,23706,1,HR,1,100,77
1713523192.975196,554161,23826,1,HR,1,100,77
1713523193.628193,554814,23942,1,HR,1,100,81
1713523195.188187,556374,24191,1,HR,1,100,71
1713523195.841184,557027,24308,1,HR,1,100,76
1713523196.561182,557747,24424,1,HR,1,100,78
1713523197.241179,558427,24541,1,HR,1,100,80
1713523198.014175,559200,24661,1,HR,1,100,80
1713523198.654173,559840,24762,1,HR,1,100,83
1713523199.294170,560480,24878,1,HR,1,100,85
1713523199.907168,561093,24979,1,HR,1,100,89
1713523200.627165,561813,25096,1,HR,1,100,87
1713523201.307162,562493,25212,1,HR,1,100,88
1713523202.067159,563253,25329,1,HR,1,100,86
1713523202.720156,563906,25450,1,HR,1,100,87
1713523203.360154,564546,25549,1,HR,1,100,89
1713523204.080151,565266,25666,1,HR,1,100,88
1713523204.974147,566160,25816,1,HR,1,100,83
1713523205.613144,566799,25917,1,HR,1,100,86
1713523206.253142,567439,26018,1,HR,1,100,87
1713523206.907139,568093,26133,1,HR,1,100,89
1713523207.627136,568813,26249,1,HR,1,100,88
1713523208.440133,569626,26388,1,HR,1,100,85
1713523209.240129,570426,26521,1,HR,1,100,83
1713523210.280125,571466,26689,1,HR,1,100,77
1713523211.213121,572399,26840,1,HR,1,100,74
1713523211.573120,572759,26907,1,HR,1,100,95
1713523212.493116,573679,27058,1,HR,1,100,88
1713523212.986114,574172,27147,1,HR,1,100,96
1713523213.826111,575012,27279,1,HR,1,100,91
1713523215.039106,576225,27477,1,HR,1,100,82
1713523215.639103,576825,27580,1,HR,1,100,86
1713523216.159101,577345,27662,1,HR,1,100,92
1713523216.639099,577825,27746,1,HR,1,100,100
1713523217.412096,578598,27863,1,HR,1,100,95
1713523218.052093,579238,27984,1,HR,1,100,95
1713523218.532091,579718,28051,1,HR,1,100,101
1713523219.105089,580291,28150,1,HR,1,100,103
1713523219.745086,580931,28251,1,HR,1,100,101
1713523220.545083,581731,28386,1,HR,1,100,95
1713523221.105081,582291,28486,1,HR,1,100,98
1713523221.679079,582865,28569,1,HR,1,100,100
1713523222.478075,583664,28703,1,HR,1,100,94
1713523223.158072,584344,28823,1,HR,1,100,93
1713523224.052069,585238,28973,1,HR,1,100,87
1713523226.865057,588051,29438,1,HR,1,100,73
1713523228.598050,589784,29722,1,HR,1,100,64
1713523230.411043,591597,30008,1,HR,1,100,57
1713523231.131040,592317,30140,1,HR,1,100,63
1713523231.691037,592877,30224,1,HR,1,100,73
1713523232.664033,593850,30388,1,HR,1,100,71
1713523233.784029,594970,30560,1,HR,1,100,67
1713523235.077024,596263,30774,1,HR,1,100,62
1713523236.157019,597343,30960,1,HR,1,100,61
1713523236.770017,597956,31058,1,HR,1,100,70
1713523237.890012,599076,31241,1,HR,1,100,66
1713523238.330010,599516,31308,1,HR,1,100,82
1713523238.863008,600049,31395,1,HR,1,100,89
1713523239.343006,600529,31479,1,HR,1,100,97
1713523239.863004,601049,31564,1,HR,1,100,101
1713523240.557001,601743,31681,1,HR,1,100,98
1713523241.316998,602503,31799,1,HR,1,100,94
1713523241.995995,603182,31914,1,HR,1,100,93
1713523242.729992,603916,32030,1,HR,1,100,91
1713523243.449989,604636,32147,1,HR,1,100,89
1713523244.209986,605396,32285,1,HR,1,100,87
1713523244.942983,606129,32401,1,HR,1,100,86
1713523245.742980,606929,32535,1,HR,1,100,84
1713523246.502977,607689,32652,1,HR,1,100,83
1713523247.115974,608302,32751,1,HR,1,100,86
1713523247.675972,608862,32852,1,HR,1,100,91
1713523248.475969,609662,32984,1,HR,1,100,87
1713523249.688964,610875,33171,1,HR,1,100,79
1713523250.088962,611275,33238,1,HR,1,100,95
1713523250.768959,611955,33356,1,HR,1,100,93
1713523251.261957,612448,33440,1,HR,1,100,100
1713523251.941954,613128,33539,1,HR,1,100,98
1713523252.461952,613648,33639,1,HR,1,100,102
1713523252.981950,614168,33724,1,HR,1,100,105
1713523253.754947,614941,33839,1,HR,1,100,99
1713523254.274945,615461,33929,1,HR,1,100,103
1713523254.714943,615901,33996,1,HR,1,100,110
1713523255.927938,617114,34196,1,HR,1,100,97
1713523256.567935,617754,34313,1,HR,1,100,96
1713523257.087933,618274,34397,1,HR,1,100,100
1713523257.701931,618888,34498,1,HR,1,100,100
1713523258.181929,619368,34565,1,HR,1,100,106
1713523258.740927,619927,34666,1,HR,1,100,106
1713523259.420924,620607,34772,1,HR,1,100,102
1713523260.114921,621301,34887,1,HR,1,100,99
1713523260.594919,621781,34974,1,HR,1,100,105
