LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713512351.464887,372195,58993,1,HR,1,100,82
1713512352.304884,373035,59127,1,HR,1,100,79
1713512352.784883,373515,59209,1,HR,1,100,89
1713512353.357881,374088,59310,1,HR,1,100,93
1713512353.957879,374688,59399,1,HR,1,100,95
1713512354.277878,375008,59452,1,HR,1,100,115
1713512355.450874,376181,59632,1,HR,1,100,101
1713512355.970873,376701,59733,1,HR,1,100,104
1713512357.783867,378514,60015,1,HR,1,100,89
1713512358.223866,378954,60097,1,HR,1,100,99
1713512358.783864,379514,60181,1,HR,1,100,101
1713512359.396862,380127,60289,1,HR,1,100,101
1713512359.916860,380647,60373,1,HR,1,100,104
1713512360.476858,381207,60457,1,HR,1,100,105
1713512361.036856,381767,60556,1,HR,1,100,105
1713512361.529855,382260,60642,1,HR,1,100,110
1713512362.089853,382820,60726,1,HR,1,100,109
1713512362.729851,383460,60841,1,HR,1,100,106
1713512363.369849,384100,60942,1,HR,1,100,103
1713512363.863847,384594,61027,1,HR,1,100,108
1713512364.543845,385274,61133,1,HR,1,100,104
1713512365.142843,385873,61231,1,HR,1,100,103
1713512365.702842,386433,61315,1,HR,1,100,104
1713512366.316840,387047,61417,1,HR,1,100,103
1713512366.916838,387647,61517,1,HR,1,100,102
1713512367.595836,388326,61633,1,HR,1,100,99
1713512368.249834,388980,61733,1,HR,1,100,98
1713512368.769832,389500,61834,1,HR,1,100,102
1713512369.409830,390140,61923,1,HR,1,100,100
1713512370.502826,391233,62104,1,HR,1,100,90
1713512371.262824,391993,62239,1,HR,1,100,88
1713512371.702823,392433,62306,1,HR,1,100,98
1713512372.222821,392953,62390,1,HR,1,100,102
1713512372.915819,393646,62506,1,HR,1,100,99
1713512373.635817,394366,62623,1,HR,1,100,96
1713512373.995816,394726,62690,1,HR,1,100,111
1713512374.968812,395699,62845,1,HR,1,100,101
1713512375.488811,396219,62928,1,HR,1,100,104
1713512376.088809,396819,63031,1,HR,1,100,103
1713512376.648807,397379,63118,1,HR,1,100,104
1713512377.501804,398232,63266,1,HR,1,100,97
1713512378.021803,398752,63351,1,HR,1,100,101
1713512378.701801,399432,63466,1,HR,1,100,98
1713512379.154799,399885,63533,1,HR,1,100,107
1713512379.954797,400685,63655,1,HR,1,100,100
1713512380.434795,401165,63738,1,HR,1,100,105
1713512381.048793,401779,63837,1,HR,1,100,104
1713512381.688791,402419,63940,1,HR,1,100,102
1713512383.501785,404232,64236,1,HR,1,100,87
1713512383.981784,404712,64319,1,HR,1,100,95
1713512384.540782,405271,64425,1,HR,1,100,98
1713512385.060781,405791,64494,1,HR,1,100,102
1713512385.794778,406525,64611,1,HR,1,100,98
1713512386.354776,407085,64712,1,HR,1,100,100
1713512386.834775,407565,64797,1,HR,1,100,105
1713512387.514773,408245,64897,1,HR,1,100,102
1713512388.087771,408818,64996,1,HR,1,100,103
1713512388.767769,409498,65113,1,HR,1,100,100
1713512389.127768,409858,65164,1,HR,1,100,114
1713512389.700766,410431,65268,1,HR,1,100,113
1713512390.260764,410991,65353,1,HR,1,100,112
1713512390.900762,411631,65452,1,HR,1,100,108
1713512391.420760,412151,2,1,HR,1,100,109
1713512391.953759,412684,102,1,HR,1,100,111
1713512392.633756,413364,202,1,HR,1,100,106
1713512393.073755,413804,285,1,HR,1,100,113
1713512393.673753,414404,384,1,HR,1,100,110
1713512394.326751,415057,485,1,HR,1,100,106
1713512394.806750,415537,574,1,HR,1,100,110
1713512395.406748,416137,673,1,HR,1,100,108
1713512395.886746,416617,740,1,HR,1,100,112
1713512396.339745,417070,826,1,HR,1,100,117
1713512397.339741,418070,992,1,HR,1,100,105
1713512398.339738,419070,1142,1,HR,1,100,95
1713512399.592734,420323,1356,1,HR,1,100,84
1713512400.965730,421696,1574,1,HR,1,100,75
1713512401.486728,422217,1660,1,HR,1,100,84
1713512402.445725,423176,1809,1,HR,1,100,79
1713512403.139723,423870,1925,1,HR,1,100,81
1713512403.619722,424350,2009,1,HR,1,100,91
1713512404.138720,424869,2093,1,HR,1,100,96
1713512404.659718,425390,2175,1,HR,1,100,101
1713512405.272717,426003,2283,1,HR,1,100,101
1713512405.912714,426643,2384,1,HR,1,100,99
1713512406.472713,427203,2484,1,HR,1,100,101
1713512407.085711,427816,2585,1,HR,1,100,101
1713512407.645709,428376,2669,1,HR,1,100,102
1713512408.485706,429216,2816,1,HR,1,100,95
1713512408.965705,429696,2884,1,HR,1,100,102
1713512409.738702,430469,3017,1,HR,1,100,97
1713512410.178701,430909,3089,1,HR,1,100,106
1713512410.458700,431189,3141,1,HR,1,100,130
1713512410.938699,431669,3225,1,HR,1,100,129
1713512411.511697,432242,3326,1,HR,1,100,124
1713512412.071695,432802,3410,1,HR,1,100,120
1713512413.351691,434082,3626,1,HR,1,100,104
1713512413.884689,434615,3711,1,HR,1,100,106
1713512414.844686,435575,3859,1,HR,1,100,97
1713512415.364685,436095,3947,1,HR,1,100,101
1713512416.617681,437348,4163,1,HR,1,100,89
1713512417.457678,438188,4295,1,HR,1,100,85
1713512418.070676,438801,4396,1,HR,1,100,89
1713512418.670674,439401,4496,1,HR,1,100,91
1713512419.110673,439841,4564,1,HR,1,100,101
1713512419.884670,440615,4697,1,HR,1,100,96
1713512420.404669,441135,4784,1,HR,1,100,100
1713512421.044667,441775,4885,1,HR,1,100,99
1713512422.137663,442868,5067,1,HR,1,100,89
1713512422.737661,443468,5168,1,HR,1,100,92
1713512423.137660,443868,5235,1,HR,1,100,105
1713512423.777658,444508,5336,1,HR,1,100,102
1713512424.350656,445081,5435,1,HR,1,100,103
1713512424.910654,445641,5536,1,HR,1,100,104
1713512425.430653,446161,5619,1,HR,1,100,107
1713512425.990651,446721,5707,1,HR,1,100,107
1713512426.443650,447174,5793,1,HR,1,100,113
1713512427.203647,447934,5908,1,HR,1,100,106
1713512427.643646,448374,5977,1,HR,1,100,113
1713512428.243644,448974,6077,1,HR,1,100,110
1713512428.616642,449347,6144,1,HR,1,100,122
1713512429.336640,450067,6260,1,HR,1,100,114
1713512429.896638,450627,6361,1,HR,1,100,112
1713512430.416637,451147,6444,1,HR,1,100,113
1713512430.909635,451640,6534,1,HR,1,100,116
1713512431.669633,452400,6651,1,HR,1,100,107
1713512432.229631,452960,6752,1,HR,1,100,107
1713512432.962629,453693,6868,1,HR,1,100,102
1713512433.322628,454053,6918,1,HR,1,100,116
1713512433.962626,454693,7034,1,HR,1,100,111
1713512434.202625,454933,7069,1,HR,1,100,142
1713512434.562624,455293,7137,1,HR,1,100,148
1713512435.095622,455826,7220,1,HR,1,100,140
1713512435.615620,456346,7305,1,HR,1,100,135
1713512436.175619,456906,7393,1,HR,1,100,129
1713512436.815617,457546,7513,1,HR,1,100,121
1713512437.468615,458199,7612,1,HR,1,100,115
1713512437.988613,458719,7696,1,HR,1,100,115
1713512438.588611,459319,7797,1,HR,1,100,112
1713512439.068609,459799,7881,1,HR,1,100,115
1713512439.762607,460493,7996,1,HR,1,100,109
1713512440.322606,461053,8081,1,HR,1,100,108
1713512440.721604,461452,8148,1,HR,1,100,118
1713512441.375602,462106,8270,1,HR,1,100,112
1713512442.015600,462746,8371,1,HR,1,100,108
1713512442.575598,463306,8454,1,HR,1,100,108
1713512443.095597,463826,8554,1,HR,1,100,110
1713512443.708595,464439,8655,1,HR,1,100,107
1713512444.348593,465079,8754,1,HR,1,100,104
1713512444.948591,465679,8859,1,HR,1,100,103
1713512445.601589,466332,8958,1,HR,1,100,101
1713512446.241587,466972,9082,1,HR,1,100,100
1713512447.441583,468172,9263,1,HR,1,100,89
1713512447.974581,468705,9366,1,HR,1,100,95
1713512449.294577,470025,9579,1,HR,1,100,84
1713512449.654576,470385,9631,1,HR,1,100,102
1713512450.267574,470998,9730,1,HR,1,100,102
1713512450.787572,471518,9813,1,HR,1,100,105
1713512451.427570,472158,9937,1,HR,1,100,102
