LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713346131.474342,331347,52687,1,HR,1,100,53
1713346132.767337,332640,52893,1,HR,1,100,52
1713346133.447334,333320,53012,1,HR,1,100,60
1713346133.927332,333800,53097,1,HR,1,100,74
1713346136.100323,335973,53442,1,HR,1,100,64
1713346136.460322,336333,53510,1,HR,1,100,87
1713346136.780321,336653,53562,1,HR,1,100,109
1713346137.713317,337586,53719,1,HR,1,100,99
1713346138.353314,338226,53817,1,HR,1,100,98
1713346139.366310,339239,53987,1,HR,1,100,90
1713346139.766309,339639,54055,1,HR,1,100,103
1713346140.166307,340039,54124,1,HR,1,100,113
1713346141.299303,341172,54310,1,HR,1,100,100
1713346143.473294,343346,54667,1,HR,1,100,84
1713346144.112291,343985,54766,1,HR,1,100,86
1713346145.472286,345345,54999,1,HR,1,100,77
1713346148.139275,348012,55416,1,HR,1,100,65
1713346149.379270,349252,55631,1,HR,1,100,61
1713346149.858268,349731,55698,1,HR,1,100,75
1713346150.432266,350305,55801,1,HR,1,100,82
1713346151.032264,350905,55899,1,HR,1,100,86
1713346156.991240,356864,56862,1,HR,1,100,69
1713346157.191239,357064,56896,1,HR,1,100,121
1713346157.351238,357224,56931,1,HR,1,100,177
1713346158.471234,358344,57107,1,HR,1,100,150
1713346159.284230,359157,57241,1,HR,1,100,133
1713346159.564229,359437,57291,1,HR,1,100,151
1713346159.924228,359797,57358,1,HR,1,100,155
1713346160.364226,360237,57425,1,HR,1,100,151
1713346160.977224,360850,57526,1,HR,1,100,139
1713346164.110211,363983,58026,1,HR,1,100,113
1713346166.683201,366556,58458,1,HR,1,100,93
1713346167.497197,367370,58591,1,HR,1,100,89
1713346167.897196,367770,58658,1,HR,1,100,102
1713346168.617193,368490,58764,1,HR,1,100,98
1713346169.057191,368930,58849,1,HR,1,100,107
1713346170.270186,370143,59046,1,HR,1,100,94
1713346170.910184,370783,59145,1,HR,1,100,94
1713346171.550181,371423,59248,1,HR,1,100,94
1713346172.163179,372036,59351,1,HR,1,100,95
1713346172.883176,372756,59466,1,HR,1,100,93
1713346173.523173,373396,59574,1,HR,1,100,93
1713346174.176171,374049,59692,1,HR,1,100,93
1713346175.456166,375329,59890,1,HR,1,100,83
1713346176.909160,376782,60127,1,HR,1,100,74
1713346178.202154,378075,60345,1,HR,1,100,68
1713346179.642149,379515,60583,1,HR,1,100,62
1713346180.655145,380528,60749,1,HR,1,100,61
1713346181.095143,380968,60817,1,HR,1,100,78
1713346181.975139,381848,60967,1,HR,1,100,76
1713346182.549137,382422,61050,1,HR,1,100,83
1713346183.269134,383142,61182,1,HR,1,100,83
1713346184.148131,384021,61322,1,HR,1,100,80
1713346184.508129,384381,61373,1,HR,1,100,99
1713346185.162127,385035,61488,1,HR,1,100,98
1713346185.762124,385635,61591,1,HR,1,100,98
1713346186.322122,386195,61675,1,HR,1,100,100
1713346186.935119,386808,61776,1,HR,1,100,100
1713346187.615117,387488,61893,1,HR,1,100,98
1713346187.775116,387648,61927,1,HR,1,100,159
1713346188.255114,388128,61994,1,HR,1,100,152
1713346188.948111,388821,62117,1,HR,1,100,138
1713346189.628109,389501,62218,1,HR,1,100,127
1713346190.348106,390221,62335,1,HR,1,100,117
1713346191.081103,390954,62470,1,HR,1,100,109
1713346191.681100,391554,62558,1,HR,1,100,107
1713346192.481097,392354,62697,1,HR,1,100,100
1713346193.174094,393047,62816,1,HR,1,100,98
1713346193.934091,393807,62941,1,HR,1,100,93
1713346194.654088,394527,63058,1,HR,1,100,91
1713346195.507085,395380,63210,1,HR,1,100,87
1713346196.267082,396140,63329,1,HR,1,100,85
1713346197.467077,397340,63533,1,HR,1,100,77
1713346198.240074,398113,63665,1,HR,1,100,78
1713346199.360070,399233,63836,1,HR,1,100,72
1713346200.093067,399966,63954,1,HR,1,100,75
1713346200.933063,400806,64107,1,HR,1,100,74
1713346201.613060,401486,64206,1,HR,1,100,77
1713346202.307058,402180,64328,1,HR,1,100,80
1713346202.986055,402859,64445,1,HR,1,100,82
1713346203.880051,403753,64602,1,HR,1,100,79
1713346204.280050,404153,64655,1,HR,1,100,94
1713346204.520049,404393,64709,1,HR,1,100,129
1713346204.920047,404793,64778,1,HR,1,100,134
1713346205.640044,405513,64893,1,HR,1,100,122
1713346206.053043,405926,64961,1,HR,1,100,129
1713346206.573040,406446,65047,1,HR,1,100,126
1713346207.493037,407366,65202,1,HR,1,100,112
1713346208.786032,408659,65421,1,HR,1,100,98
1713346209.266030,409139,65493,1,HR,1,100,104
1713346209.946027,409819,73,1,HR,1,100,100
1713346210.679024,410552,190,1,HR,1,100,97
1713346211.439021,411312,306,1,HR,1,100,93
1713346212.159018,412032,425,1,HR,1,100,91
1713346212.772016,412645,525,1,HR,1,100,93
1713346213.372013,413245,625,1,HR,1,100,94
1713346214.052011,413925,740,1,HR,1,100,93
1713346214.785008,414658,862,1,HR,1,100,91
1713346215.505005,415378,979,1,HR,1,100,89
1713346216.185002,416058,1095,1,HR,1,100,89
1713346217.077998,416951,1246,1,HR,1,100,84
1713346217.517997,417391,1313,1,HR,1,100,96
1713346217.917995,417791,1380,1,HR,1,100,108
1713346218.797992,418671,1530,1,HR,1,100,99
1713346219.770988,419644,1684,1,HR,1,100,91
1713346220.170986,420044,1751,1,HR,1,100,104
1713346220.890983,420764,1867,1,HR,1,100,99
1713346222.344977,422218,2100,1,HR,1,100,87
1713346223.024975,422898,2215,1,HR,1,100,87
1713346223.637972,423511,2316,1,HR,1,100,90
1713346224.677968,424551,2487,1,HR,1,100,83
1713346225.077966,424951,2555,1,HR,1,100,98
1713346225.970963,425844,2703,1,HR,1,100,91
1713346226.530961,426404,2786,1,HR,1,100,95
1713346227.010959,426884,2872,1,HR,1,100,101
1713346227.863955,427737,3005,1,HR,1,100,95
1713346229.263950,429137,3236,1,HR,1,100,83
1713346229.703948,429577,3308,1,HR,1,100,95
1713346230.396945,430270,3426,1,HR,1,100,94
1713346230.876943,430750,3510,1,HR,1,100,101
1713346232.009938,431883,3694,1,HR,1,100,90
1713346232.649936,432523,3793,1,HR,1,100,91
1713346234.382929,434256,4073,1,HR,1,100,78
1713346235.062926,434936,4198,1,HR,1,100,81
1713346236.635920,436509,4448,1,HR,1,100,71
1713346237.195918,437069,4553,1,HR,1,100,79
1713346238.195914,438069,4719,1,HR,1,100,75
1713346239.649908,439523,4950,1,HR,1,100,68
1713346241.542900,441416,5266,1,HR,1,100,60
1713346242.662896,442536,5451,1,HR,1,100,58
1713346243.235893,443109,5534,1,HR,1,100,69
1713346243.915891,443789,5651,1,HR,1,100,73
1713346244.595888,444469,5766,1,HR,1,100,77
1713346244.875887,444749,5822,1,HR,1,100,107
1713346245.248885,445122,5874,1,HR,1,100,120
1713346246.048882,445922,6006,1,HR,1,100,110
1713346246.528880,446402,6091,1,HR,1,100,114
1713346249.021870,448895,6486,1,HR,1,100,94
1713346249.954866,449828,6640,1,HR,1,100,87
1713346251.074862,450948,6838,1,HR,1,100,80
1713346251.727859,451601,6941,1,HR,1,100,83
1713346252.647856,452521,7088,1,HR,1,100,79
1713346253.327853,453201,7205,1,HR,1,100,81
1713346253.900851,453774,7290,1,HR,1,100,87
1713346254.460848,454334,7389,1,HR,1,100,91
1713346255.954842,455828,7641,1,HR,1,100,80
1713346257.353837,457227,7857,1,HR,1,100,72
1713346258.007834,457881,7973,1,HR,1,100,77
1713346258.527832,458401,8058,1,HR,1,100,85
1713346259.207829,459081,8173,1,HR,1,100,86
1713346259.726827,459600,8258,1,HR,1,100,92
1713346260.420825,460294,8378,1,HR,1,100,92
1713346261.140822,461014,8494,1,HR,1,100,90
1713346262.220817,462094,8662,1,HR,1,100,82
1713346262.833815,462707,8763,1,HR,1,100,86
1713346263.833811,463707,8927,1,HR,1,100,80
1713346269.112790,468986,9790,1,HR,1,100,65
1713346269.552788,469426,9857,1,HR,1,100,81
1713346270.112786,469986,9957,1,HR,1,100,87
1713346271.005782,470879,10115,1,HR,1,100,83
1713346272.845775,472719,10416,1,HR,1,100,71
1713346273.658771,473532,10548,1,HR,1,100,72
1713346275.098766,474972,10780,1,HR,1,100,65
1713346276.752759,476626,11049,1,HR,1,100,59
1713346277.725755,477599,11218,1,HR,1,100,60
1713346278.685751,478559,11365,1,HR,1,100,60
1713346280.058746,479932,11603,1,HR,1,100,57
1713346280.298745,480172,11638,1,HR,1,100,100
1713346281.138741,481012,11793,1,HR,1,100,93
1713346281.418740,481292,11827,1,HR,1,100,120
1713346282.071738,481945,11946,1,HR,1,100,114
1713346283.831731,483705,12225,1,HR,1,100,97
1713346284.524728,484398,12345,1,HR,1,100,95
1713346285.004726,484878,12426,1,HR,1,100,101
1713346285.564723,485438,12511,1,HR,1,100,103
1713346286.217721,486091,12632,1,HR,1,100,101
1713346286.937718,486811,12751,1,HR,1,100,97
1713346287.457716,487331,12835,1,HR,1,100,101
1713346287.697715,487571,12868,1,HR,1,100,134
1713346288.057714,487931,12936,1,HR,1,100,141
1713346291.043702,490917,13418,1,HR,1,100,114
1713346291.603699,491477,13519,1,HR,1,100,113
1713346292.457696,492331,13656,1,HR,1,100,104
1713346292.856694,492730,13723,1,HR,1,100,114
1713346293.376692,493250,13806,1,HR,1,100,114
1713346293.936690,493810,13905,1,HR,1,100,113
1713346294.830686,494704,14055,1,HR,1,100,103
1713346295.430684,495304,14138,1,HR,1,100,102
1713346297.523676,497397,14491,1,HR,1,100,86
1713346298.603671,498477,14673,1,HR,1,100,79
1713346299.816666,499690,14874,1,HR,1,100,73
1713346300.696663,500570,15009,1,HR,1,100,72
1713346301.749659,501623,15198,1,HR,1,100,69
1713346302.909654,502783,15381,1,HR,1,100,65
1713346303.282652,503156,15449,1,HR,1,100,87
1713346303.882650,503756,15548,1,HR,1,100,90
1713346304.522647,504396,15651,1,HR,1,100,91
1713346305.002645,504876,15734,1,HR,1,100,99
1713346305.535643,505409,15817,1,HR,1,100,102
1713346306.135641,506009,15918,1,HR,1,100,102
1713346306.655639,506529,16007,1,HR,1,100,105
1713346307.215637,507089,16091,1,HR,1,100,105
1713346307.748635,507622,16192,1,HR,1,100,108
1713346308.308632,508182,16276,1,HR,1,100,107
1713346308.588631,508462,16326,1,HR,1,100,131
1713346309.548627,509422,16476,1,HR,1,100,116
1713346310.242625,510116,16591,1,HR,1,100,110
1713346311.521619,511395,16811,1,HR,1,100,96
1713346313.254612,513128,17092,1,HR,1,100,82
1713346313.855610,513729,17197,1,HR,1,100,86
1713346314.468608,514342,17296,1,HR,1,100,89
1713346315.228605,515102,17414,1,HR,1,100,87
1713346317.281596,517155,17765,1,HR,1,100,74
1713346318.494591,518368,17963,1,HR,1,100,69
1713346318.974590,518848,18030,1,HR,1,100,81
1713346319.614587,519488,18146,1,HR,1,100,84
1713346320.174585,520048,18230,1,HR,1,100,89
1713346320.827582,520701,18346,1,HR,1,100,90
1713346321.387580,521261,18429,1,HR,1,100,94
1713346322.027577,521901,18537,1,HR,1,100,94
1713346322.627575,522501,18636,1,HR,1,100,95
1713346323.160573,523034,18737,1,HR,1,100,100
1713346323.800570,523674,18836,1,HR,1,100,98
1713346324.520567,524394,18954,1,HR,1,100,95
1713346325.893562,525767,19167,1,HR,1,100,84
1713346326.453559,526327,19267,1,HR,1,100,89
1713346327.466555,527340,19440,1,HR,1,100,83
1713346327.906554,527780,19507,1,HR,1,100,94
1713346328.506551,528380,19606,1,HR,1,100,96
1713346329.186548,529060,19724,1,HR,1,100,94
1713346331.493539,531367,20100,1,HR,1,100,79
1713346332.533535,532407,20273,1,HR,1,100,74
1713346333.986529,533860,20502,1,HR,1,100,67
1713346334.546527,534420,20603,1,HR,1,100,76
1713346335.146525,535020,20703,1,HR,1,100,81
1713346335.799522,535673,20803,1,HR,1,100,84
1713346336.439519,536313,20904,1,HR,1,100,86
1713346338.772510,538646,21288,1,HR,1,100,73
1713346339.292508,539166,21388,1,HR,1,100,82
1713346339.972505,539846,21487,1,HR,1,100,84
1713346340.745502,540619,21620,1,HR,1,100,83
1713346341.705498,541579,21768,1,HR,1,100,78
1713346343.078493,542952,22007,1,HR,1,100,71
1713346343.958489,543832,22139,1,HR,1,100,70
1713346345.011485,544885,22320,1,HR,1,100,67
1713346345.691482,545565,22438,1,HR,1,100,72
1713346346.451479,546325,22554,1,HR,1,100,73
1713346346.984477,546858,22639,1,HR,1,100,83
1713346347.584475,547458,22743,1,HR,1,100,87
1713346348.224472,548098,22861,1,HR,1,100,88
1713346350.118464,549992,23156,1,HR,1,100,76
1713346350.677462,550551,23256,1,HR,1,100,83
1713346352.051457,551925,23472,1,HR,1,100,74
1713346354.584447,554458,23888,1,HR,1,100,63
1713346355.917441,555791,24102,1,HR,1,100,59
1713346356.917437,556791,24270,1,HR,1,100,59
1713346362.556415,562430,25178,1,HR,1,100,48
1713346363.849409,563723,25395,1,HR,1,100,48
1713346364.369407,564243,25479,1,HR,1,100,63
1713346365.329403,565203,25645,1,HR,1,100,63
1713346365.569402,565443,25679,1,HR,1,100,105
1713346366.143400,566017,25780,1,HR,1,100,105
1713346366.582398,566456,25847,1,HR,1,100,112
1713346367.863393,567737,26068,1,HR,1,100,98
1713346369.516387,569390,26331,1,HR,1,100,84
1713346370.155384,570029,26432,1,HR,1,100,86
1713346371.329379,571203,26629,1,HR,1,100,79
1713346371.809377,571683,26699,1,HR,1,100,89
1713346372.542375,572416,26831,1,HR,1,100,88
1713346373.342371,573216,26969,1,HR,1,100,85
1713346374.262367,574136,27118,1,HR,1,100,80
1713346375.435363,575309,27299,1,HR,1,100,74
1713346376.355359,576229,27448,1,HR,1,100,72
1713346376.968357,576842,27551,1,HR,1,100,78
1713346378.008353,577882,27737,1,HR,1,100,74
1713346379.061348,578935,27903,1,HR,1,100,70
1713346379.941345,579815,28052,1,HR,1,100,70
1713346381.114340,580988,28233,1,HR,1,100,66
1713346381.794337,581668,28351,1,HR,1,100,71
1713346385.007324,584881,28882,1,HR,1,100,59
1713346386.501318,586375,29111,1,HR,1,100,55
1713346387.714314,587588,29312,1,HR,1,100,54
1713346391.727298,591601,29978,1,HR,1,100,45
1713346392.460294,592334,30093,1,HR,1,100,54
1713346393.820289,593694,30313,1,HR,1,100,52
1713346394.553286,594427,30429,1,HR,1,100,59
1713346395.073284,594947,30529,1,HR,1,100,71
1713346395.313283,595187,30564,1,HR,1,100,111
1713346396.406279,596280,30746,1,HR,1,100,99
1713346397.046276,596920,30849,1,HR,1,100,98
1713346398.579270,598453,31099,1,HR,1,100,85
1713346399.219267,599093,31200,1,HR,1,100,87
1713346400.712261,600586,31446,1,HR,1,100,76
