LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713279292.296976,285269,44735,1,HR,1,100,73
1713279292.696974,285669,44803,1,HR,1,100,90
1713279293.309972,286282,44903,1,HR,1,100,92
1713279298.455952,291428,45740,1,HR,1,100,75
1713279299.335948,292308,45874,1,HR,1,100,73
1713279312.254897,305227,47961,1,HR,1,100,58
1713279314.680888,307653,48357,1,HR,1,100,51
1713279315.160886,308133,48441,1,HR,1,100,67
1713279316.360881,309333,48621,1,HR,1,100,63
1713279316.974879,309947,48722,1,HR,1,100,71
1713279318.853871,311826,49026,1,HR,1,100,63
1713279319.667868,312640,49178,1,HR,1,100,65
1713279320.347865,313320,49278,1,HR,1,100,70
1713279321.840859,314813,49526,1,HR,1,100,64
1713279323.533853,316506,49796,1,HR,1,100,58
1713279325.706844,318679,50143,1,HR,1,100,51
1713279326.746840,319719,50326,1,HR,1,100,52
1713279327.466837,320439,50434,1,HR,1,100,59
1713279328.079835,321052,50533,1,HR,1,100,68
1713279328.599833,321572,50633,1,HR,1,100,79
1713279330.452825,323425,50930,1,HR,1,100,69
1713279331.332822,324305,51080,1,HR,1,100,68
1713279332.212818,325185,51212,1,HR,1,100,68
1713279332.665817,325638,51286,1,HR,1,100,84
1713279333.585813,326558,51437,1,HR,1,100,79
1713279337.411798,330384,52066,1,HR,1,100,65
1713279338.905792,331878,52301,1,HR,1,100,60
1713279339.185791,332158,52354,1,HR,1,100,94
1713279341.358782,334331,52704,1,HR,1,100,79
1713279342.198779,335171,52854,1,HR,1,100,78
1713279343.038776,336011,52974,1,HR,1,100,76
1713279343.571774,336544,53075,1,HR,1,100,85
1713279345.304767,338277,53361,1,HR,1,100,74
1713279345.984764,338957,53461,1,HR,1,100,77
1713279346.664762,339637,53577,1,HR,1,100,80
1713279347.264759,340237,53676,1,HR,1,100,84
1713279347.797757,340770,53766,1,HR,1,100,91
1713279348.877753,341850,53932,1,HR,1,100,83
1713279349.730749,342703,54085,1,HR,1,100,81
1713279350.090748,343063,54136,1,HR,1,100,100
1713279351.010744,343983,54284,1,HR,1,100,92
1713279352.223740,345196,54482,1,HR,1,100,83
1713279352.863737,345836,54605,1,HR,1,100,85
1713279354.276731,347249,54823,1,HR,1,100,76
1713279354.756730,347729,54908,1,HR,1,100,87
1713279355.356727,348329,55007,1,HR,1,100,90
1713279355.916725,348889,55092,1,HR,1,100,94
1713279356.330723,349303,55161,1,HR,1,100,106
1713279357.009721,349982,55277,1,HR,1,100,102
1713279357.649718,350622,55378,1,HR,1,100,100
1713279358.129716,351102,55467,1,HR,1,100,106
1713279358.623714,351596,55555,1,HR,1,100,110
1713279359.143712,352116,55643,1,HR,1,100,111
1713279359.783710,352756,55742,1,HR,1,100,107
