"VR Therapy, Traditional Therapy"
"81.93023255813954,93.26121372031662"
"89.31955922865014, 89.84764542936288"
"81.2517730496454,94.4469696969697"
"60.25352112676056, 43.91346153846154"
"66.99145299145299,75.31468531468532"
"82.42890995260663, 77.68343195266272"
"74.41964285714286,68.18604651162791"
"82.1522491349481, 91.01003344481606"
"90.50123456790124,87.08290155440415"
"67.61290322580645, 67.11111111111111"
"76.13173652694611,72.35897435897436"
"73.99068322981367,80.40566037735849"
"84.35331230283911, 87.71387283236994"
"113.99282296650718,104.10084033613445"
"82.15926892950391, 79.59872611464968"
"85.71608040201005,86.10337552742617"
"63.61490683229814, 67.8125"
"92.93596059113301,87.69607843137256"
"74.62535211267605, 81.14054054054054"
"88.36842105263158,83.73353293413173"
"56.11231884057971, 60.788590604026844"
